observed_at_utc,watch_id,leg,origin,dest,flight_date,price_eur,dep,arr,days_to_flight
2026-09-21T08:04:16Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T08:04:16Z,kerst2026,out,EIN,GRO,2026-12-28,83.99,09:25,11:20,98
2026-09-21T08:04:16Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T08:04:16Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T10:00:56Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T10:00:56Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T10:00:56Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T10:00:56Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T12:00:58Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T12:00:58Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T12:00:58Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T12:00:58Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T14:01:09Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T14:01:09Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T14:01:09Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T14:01:09Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T16:00:57Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T16:00:57Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T16:00:57Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T16:00:57Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T18:01:26Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T18:01:26Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T18:01:26Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T18:01:26Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T20:01:09Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T20:01:09Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T20:01:09Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T20:01:09Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-21T22:01:11Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,96
2026-09-21T22:01:11Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,98
2026-09-21T22:01:11Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,103
2026-09-21T22:01:11Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,105
2026-09-22T00:01:20Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,95
2026-09-22T00:01:20Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,97
2026-09-22T00:01:20Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,102
2026-09-22T00:01:20Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,104
2026-09-22T02:01:12Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,95
2026-09-22T02:01:12Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,97
2026-09-22T02:01:12Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,102
2026-09-22T02:01:12Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,104
2026-09-22T04:01:03Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,95
2026-09-22T04:01:03Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,97
2026-09-22T04:01:03Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,102
2026-09-22T04:01:03Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,104
2026-09-22T06:01:05Z,kerst2026,out,EIN,GRO,2026-12-26,145.99,11:20,13:15,95
2026-09-22T06:01:05Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,97
2026-09-22T06:01:05Z,kerst2026,ret,GRO,EIN,2027-01-02,228.99,08:45,10:55,102
2026-09-22T06:01:05Z,kerst2026,ret,GRO,EIN,2027-01-04,147.99,06:50,09:00,104
2026-09-22T08:00:59Z,kerst2026,out,EIN,GRO,2026-12-26,143.99,11:20,13:15,95
2026-09-22T08:00:59Z,kerst2026,out,EIN,GRO,2026-12-28,85.99,09:25,11:20,97
